# of reads,# of items in equivalence class,isoforms in equivalence class
737392,0,
50420,2,"ENST00000329251, ENST00000496634"
12500,1,ENST00000536684
11681,1,ENST00000393067
10042,5,"ENST00000389939, ENST00000345732, ENST00000674194, ENST00000534668, ENST00000532073"
10039,7,"ENST00000422447, ENST00000545215, ENST00000379412, ENST00000396222, ENST00000430553, ENST00000227157, ENST00000540430"
9344,1,ENST00000260197
9020,1,ENST00000449131
8939,6,"ENST00000532829, ENST00000534180, ENST00000526640, ENST00000273550, ENST00000620041, ENST00000532601"
8168,3,"ENST00000530797, ENST00000321153, ENST00000530398"
8113,2,"ENST00000530797, ENST00000321153"
7585,2,"ENST00000525634, ENST00000228140"
7165,2,"ENST00000527673, ENST00000532567"
6517,1,ENST00000308595
6416,4,"ENST00000273550, ENST00000532829, ENST00000530019, ENST00000620041"
6008,8,"ENST00000533540, ENST00000534624, ENST00000534319, ENST00000532636, ENST00000526686, ENST00000526110, ENST00000524552, ENST00000227378"
5890,3,"ENST00000527673, ENST00000532567, ENST00000527791"
5768,1,ENST00000278412
5161,6,"ENST00000534180, ENST00000526640, ENST00000273550, ENST00000620041, ENST00000529548, ENST00000532601"
4982,1,ENST00000527673
4882,11,"ENST00000542179, ENST00000430553, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000536528, ENST00000543695, ENST00000396222, ENST00000379412, ENST00000486690"
4820,13,"ENST00000524851, ENST00000532872, ENST00000530721, ENST00000534440, ENST00000531188, ENST00000525690, ENST00000526608, ENST00000422465, ENST00000526248, ENST00000527446, ENST00000530170, ENST00000278572, ENST00000525933"
4453,7,"ENST00000531978, ENST00000530913, ENST00000530022, ENST00000526562, ENST00000314138, ENST00000524496, ENST00000534599"
4383,10,"ENST00000524851, ENST00000532872, ENST00000530721, ENST00000531188, ENST00000526608, ENST00000422465, ENST00000526248, ENST00000527446, ENST00000278572, ENST00000525933"
4353,4,"ENST00000396525, ENST00000339995, ENST00000526148, ENST00000525681"
4303,1,ENST00000525634
4291,6,"ENST00000389939, ENST00000345732, ENST00000674194, ENST00000534668, ENST00000532073, ENST00000528313"
4286,8,"ENST00000533540, ENST00000534624, ENST00000534319, ENST00000528292, ENST00000532636, ENST00000526110, ENST00000453788, ENST00000227378"
4280,1,ENST00000379965
4151,7,"ENST00000526110, ENST00000534624, ENST00000534319, ENST00000528292, ENST00000453788, ENST00000227378, ENST00000532636"
4016,7,"ENST00000545215, ENST00000379412, ENST00000542179, ENST00000430553, ENST00000540430, ENST00000541097, ENST00000422447"
3579,5,"ENST00000405957, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000381775"
3380,1,ENST00000378024
3343,5,"ENST00000531978, ENST00000530022, ENST00000314138, ENST00000524496, ENST00000534599"
3258,2,"ENST00000428726, ENST00000263398"
3238,9,"ENST00000524851, ENST00000532872, ENST00000534440, ENST00000531188, ENST00000526608, ENST00000526248, ENST00000527446, ENST00000530170, ENST00000278572"
3102,7,"ENST00000530913, ENST00000530022, ENST00000532359, ENST00000526562, ENST00000314138, ENST00000524496, ENST00000534599"
3013,13,"ENST00000495052, ENST00000542179, ENST00000430553, ENST00000535451, ENST00000539814, ENST00000227157, ENST00000541097, ENST00000422447, ENST00000540430, ENST00000396222, ENST00000379412, ENST00000543445, ENST00000478970"
2887,8,"ENST00000533540, ENST00000534624, ENST00000534319, ENST00000532636, ENST00000526110, ENST00000453788, ENST00000524552, ENST00000227378"
2776,2,"ENST00000403734, ENST00000301785"
2775,2,"ENST00000332118, ENST00000532259"
2772,2,"ENST00000540430, ENST00000379412"
2746,1,ENST00000299413
2688,5,"ENST00000532829, ENST00000530019, ENST00000534180, ENST00000273550, ENST00000620041"
2680,11,"ENST00000524851, ENST00000532872, ENST00000530721, ENST00000531188, ENST00000525690, ENST00000526608, ENST00000422465, ENST00000526248, ENST00000527446, ENST00000278572, ENST00000525933"
2670,1,ENST00000321153
2669,5,"ENST00000396222, ENST00000379412, ENST00000227157, ENST00000540430, ENST00000422447"
2553,8,"ENST00000677121, ENST00000678993, ENST00000531329, ENST00000531572, ENST00000678132, ENST00000651655, ENST00000533626, ENST00000640290"
2461,5,"ENST00000532820, ENST00000389645, ENST00000341394, ENST00000529307, ENST00000530820"
2413,1,ENST00000530022
2337,6,"ENST00000533540, ENST00000534624, ENST00000534319, ENST00000453788, ENST00000227378, ENST00000532636"
2332,13,"ENST00000328221, ENST00000680938, ENST00000680696, ENST00000680588, ENST00000679380, ENST00000399815, ENST00000528780, ENST00000681938, ENST00000679765, ENST00000408968, ENST00000681180, ENST00000681426, ENST00000681577"
2323,3,"ENST00000495052, ENST00000540430, ENST00000379412"
2302,7,"ENST00000545215, ENST00000379412, ENST00000542179, ENST00000430553, ENST00000227157, ENST00000540430, ENST00000422447"
2206,7,"ENST00000524851, ENST00000526248, ENST00000530721, ENST00000527446, ENST00000530170, ENST00000531188, ENST00000422465"
2167,7,"ENST00000524851, ENST00000530721, ENST00000527446, ENST00000278572, ENST00000531188, ENST00000526608, ENST00000422465"
2155,7,"ENST00000533540, ENST00000526110, ENST00000534624, ENST00000528292, ENST00000453788, ENST00000227378, ENST00000532636"
2088,7,"ENST00000227378, ENST00000533540, ENST00000534624, ENST00000534319, ENST00000524552, ENST00000526110, ENST00000532636"
2068,1,ENST00000301785
2036,7,"ENST00000533540, ENST00000526110, ENST00000534624, ENST00000534319, ENST00000453788, ENST00000227378, ENST00000532636"
2019,1,ENST00000379719
1998,2,"ENST00000257829, ENST00000531159"
1947,1,ENST00000228136
1928,6,"ENST00000545215, ENST00000542179, ENST00000379412, ENST00000430553, ENST00000540430, ENST00000422447"
1908,1,ENST00000620041
1904,5,"ENST00000396525, ENST00000526148, ENST00000528839, ENST00000339995, ENST00000525681"
1896,4,"ENST00000530457, ENST00000555531, ENST00000396394, ENST00000418988"
1847,4,"ENST00000396978, ENST00000533217, ENST00000396979, ENST00000351018"
1801,8,"ENST00000525981, ENST00000526562, ENST00000524496, ENST00000530913, ENST00000530022, ENST00000532359, ENST00000314138, ENST00000534599"
1793,1,ENST00000531978
1778,2,"ENST00000524851, ENST00000525933"
1774,2,"ENST00000439561, ENST00000249923"
1748,10,"ENST00000542179, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000396222, ENST00000379412, ENST00000543445, ENST00000478970, ENST00000486690"
1709,6,"ENST00000545215, ENST00000430553, ENST00000379412, ENST00000227157, ENST00000540430, ENST00000422447"
1679,8,"ENST00000405957, ENST00000381775, ENST00000432093, ENST00000417766, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000457279"
1580,8,"ENST00000532829, ENST00000534180, ENST00000526640, ENST00000529548, ENST00000530019, ENST00000273550, ENST00000620041, ENST00000532601"
1557,6,"ENST00000526110, ENST00000534624, ENST00000528292, ENST00000453788, ENST00000227378, ENST00000532636"
1540,1,ENST00000361367
1538,1,ENST00000524496
1490,1,ENST00000341394
1449,1,ENST00000329251
1427,5,"ENST00000396525, ENST00000526148, ENST00000531180, ENST00000339995, ENST00000525681"
1427,6,"ENST00000530913, ENST00000530022, ENST00000526562, ENST00000314138, ENST00000524496, ENST00000534599"
1427,5,"ENST00000227378, ENST00000534624, ENST00000453788, ENST00000528292, ENST00000532636"
1417,26,"ENST00000680696, ENST00000679380, ENST00000681821, ENST00000681350, ENST00000680802, ENST00000528780, ENST00000680699, ENST00000680310, ENST00000680870, ENST00000681938, ENST00000679765, ENST00000681180, ENST00000681111, ENST00000681577, ENST00000680855, ENST00000680342, ENST00000328221, ENST00000680938, ENST00000679353, ENST00000680588, ENST00000681761, ENST00000679982, ENST00000680299, ENST00000681702, ENST00000408968, ENST00000681426"
1405,2,"ENST00000318950, ENST00000447399"
1404,9,"ENST00000524851, ENST00000532872, ENST00000530721, ENST00000531188, ENST00000526608, ENST00000422465, ENST00000527446, ENST00000278572, ENST00000525933"
1367,2,"ENST00000532820, ENST00000341394"
1338,21,"ENST00000680696, ENST00000679380, ENST00000680802, ENST00000680699, ENST00000680310, ENST00000680870, ENST00000681938, ENST00000679765, ENST00000681180, ENST00000681577, ENST00000680342, ENST00000328221, ENST00000680938, ENST00000679353, ENST00000680588, ENST00000681761, ENST00000679982, ENST00000680299, ENST00000681702, ENST00000408968, ENST00000681426"
1334,5,"ENST00000533464, ENST00000413872, ENST00000264555, ENST00000534320, ENST00000416188"
1314,9,"ENST00000495052, ENST00000542179, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000396222, ENST00000379412, ENST00000543445, ENST00000478970"
1294,2,"ENST00000319006, ENST00000528097"
1292,2,"ENST00000524496, ENST00000534599"
1258,10,"ENST00000542179, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000543695, ENST00000396222, ENST00000379412, ENST00000543445, ENST00000486690"
1214,5,"ENST00000300738, ENST00000533349, ENST00000534285, ENST00000533495, ENST00000532170"
1209,9,"ENST00000533182, ENST00000397566, ENST00000469048, ENST00000397570, ENST00000532326, ENST00000528413, ENST00000348655, ENST00000330243, ENST00000525445"
1202,1,ENST00000532872
1177,3,"ENST00000389939, ENST00000345732, ENST00000534668"
1168,5,"ENST00000396525, ENST00000526148, ENST00000531416, ENST00000339995, ENST00000525681"
1144,3,"ENST00000525634, ENST00000533969, ENST00000228140"
1127,2,"ENST00000531572, ENST00000640290"
1095,10,"ENST00000405957, ENST00000381775, ENST00000446808, ENST00000432093, ENST00000417766, ENST00000429923, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000457279"
1090,1,ENST00000288937
1067,2,"ENST00000396979, ENST00000351018"
1065,9,"ENST00000542179, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000543695, ENST00000396222, ENST00000379412, ENST00000486690"
1061,8,"ENST00000524851, ENST00000530721, ENST00000534440, ENST00000531188, ENST00000422465, ENST00000526248, ENST00000527446, ENST00000530170"
1039,3,"ENST00000439561, ENST00000534234, ENST00000249923"
1038,2,"ENST00000382762, ENST00000325147"
1037,4,"ENST00000328221, ENST00000680588, ENST00000528780, ENST00000408968"
1036,10,"ENST00000542179, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000536528, ENST00000379412, ENST00000396222, ENST00000430553, ENST00000486690"
1028,3,"ENST00000339865, ENST00000399455, ENST00000527733"
1026,4,"ENST00000414641, ENST00000379965, ENST00000425490, ENST00000454828"
1019,1,ENST00000430553
1015,6,"ENST00000524851, ENST00000530721, ENST00000527446, ENST00000278572, ENST00000531188, ENST00000422465"
999,3,"ENST00000339995, ENST00000526148, ENST00000525681"
978,7,"ENST00000396525, ENST00000339995, ENST00000526148, ENST00000524932, ENST00000532082, ENST00000531416, ENST00000525681"
958,15,"ENST00000644683, ENST00000682424, ENST00000645285, ENST00000642892, ENST00000644218, ENST00000299427, ENST00000647152, ENST00000643439, ENST00000644810, ENST00000533371, ENST00000643342, ENST00000644933, ENST00000645620, ENST00000647209, ENST00000643516"
955,1,ENST00000526562
955,2,"ENST00000531120, ENST00000524896"
923,1,ENST00000336349
923,13,"ENST00000421485, ENST00000405957, ENST00000381775, ENST00000446808, ENST00000432093, ENST00000417766, ENST00000429923, ENST00000418975, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000451814, ENST00000457279"
915,1,ENST00000332118
900,1,ENST00000054950
896,1,ENST00000354193
884,6,"ENST00000227378, ENST00000534624, ENST00000534319, ENST00000453788, ENST00000528292, ENST00000532636"
882,2,"ENST00000620138, ENST00000380542"
865,3,"ENST00000530457, ENST00000396394, ENST00000418988"
842,4,"ENST00000319006, ENST00000528097, ENST00000530440, ENST00000528070"
837,4,"ENST00000273550, ENST00000532829, ENST00000530019, ENST00000534180"
825,8,"ENST00000542179, ENST00000430553, ENST00000541097, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000379412, ENST00000486690"
818,6,"ENST00000396525, ENST00000526148, ENST00000531647, ENST00000531416, ENST00000339995, ENST00000525681"
810,2,"ENST00000354817, ENST00000532502"
803,6,"ENST00000227378, ENST00000533540, ENST00000534624, ENST00000453788, ENST00000526110, ENST00000532636"
803,5,"ENST00000532829, ENST00000530019, ENST00000534180, ENST00000526640, ENST00000273550"
792,5,"ENST00000278224, ENST00000380525, ENST00000531387, ENST00000529772, ENST00000397111"
780,1,ENST00000403734
771,9,"ENST00000542179, ENST00000430553, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000536528, ENST00000379412, ENST00000486690"
764,3,"ENST00000456517, ENST00000303296, ENST00000379016"
760,7,"ENST00000532872, ENST00000530721, ENST00000526248, ENST00000534440, ENST00000531188, ENST00000525690, ENST00000422465"
755,18,"ENST00000543445, ENST00000422447, ENST00000545215, ENST00000396222, ENST00000543695, ENST00000379412, ENST00000478970, ENST00000495052, ENST00000542179, ENST00000535451, ENST00000539814, ENST00000227157, ENST00000541097, ENST00000540430, ENST00000536528, ENST00000430553, ENST00000545467, ENST00000486690"
751,7,"ENST00000545215, ENST00000379412, ENST00000542179, ENST00000430553, ENST00000486690, ENST00000540430, ENST00000422447"
737,6,"ENST00000533540, ENST00000526110, ENST00000534624, ENST00000534319, ENST00000227378, ENST00000532636"
728,1,ENST00000299424
711,1,ENST00000254436
703,4,"ENST00000525975, ENST00000456517, ENST00000303296, ENST00000379016"
697,3,"ENST00000526115, ENST00000380542, ENST00000620138"
695,7,"ENST00000352303, ENST00000431206, ENST00000382671, ENST00000526783, ENST00000525665, ENST00000528906, ENST00000532097"
692,1,ENST00000241052
691,10,"ENST00000495052, ENST00000542179, ENST00000543445, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000396222, ENST00000379412, ENST00000545467, ENST00000478970"
688,10,"ENST00000524851, ENST00000532872, ENST00000534440, ENST00000531188, ENST00000526608, ENST00000526248, ENST00000527446, ENST00000530170, ENST00000278572, ENST00000525933"
687,4,"ENST00000534668, ENST00000389939, ENST00000345732, ENST00000674194"
678,3,"ENST00000526596, ENST00000616714, ENST00000300737"
673,2,"ENST00000265970, ENST00000691414"
644,1,ENST00000534440
633,10,"ENST00000534797, ENST00000525701, ENST00000397614, ENST00000529768, ENST00000397615, ENST00000397604, ENST00000533410, ENST00000354420, ENST00000438658, ENST00000356187"
633,7,"ENST00000678132, ENST00000651655, ENST00000640290, ENST00000533626, ENST00000678993, ENST00000531572, ENST00000531329"
623,2,"ENST00000354286, ENST00000319863"
621,2,"ENST00000524827, ENST00000323959"
615,3,"ENST00000527971, ENST00000257829, ENST00000531159"
612,5,"ENST00000527651, ENST00000526596, ENST00000616714, ENST00000300737, ENST00000533977"
610,6,"ENST00000379412, ENST00000396222, ENST00000430553, ENST00000227157, ENST00000540430, ENST00000422447"
609,7,"ENST00000528995, ENST00000526711, ENST00000396751, ENST00000299421, ENST00000532063, ENST00000537806, ENST00000420936"
609,1,ENST00000530721
608,2,"ENST00000413761, ENST00000432999"
605,5,"ENST00000433961, ENST00000396847, ENST00000682968, ENST00000684655, ENST00000380034"
592,7,"ENST00000532829, ENST00000620041, ENST00000534180, ENST00000526640, ENST00000273550, ENST00000529548, ENST00000532601"
580,6,"ENST00000532829, ENST00000530019, ENST00000534180, ENST00000526640, ENST00000273550, ENST00000529548"
579,4,"ENST00000422447, ENST00000227157, ENST00000396222, ENST00000540430"
577,1,ENST00000332826
