# of reads,# of items in equivalence class,isoforms in equivalence class
706668,0,
57420,2,"ENST00000329251, ENST00000496634"
16110,1,ENST00000449131
14344,1,ENST00000536684
12276,7,"ENST00000422447, ENST00000545215, ENST00000379412, ENST00000396222, ENST00000430553, ENST00000227157, ENST00000540430"
11234,1,ENST00000393067
11041,5,"ENST00000389939, ENST00000345732, ENST00000674194, ENST00000534668, ENST00000532073"
10720,1,ENST00000260197
9309,3,"ENST00000530797, ENST00000321153, ENST00000530398"
9026,2,"ENST00000530797, ENST00000321153"
8339,8,"ENST00000533540, ENST00000534624, ENST00000534319, ENST00000532636, ENST00000526686, ENST00000526110, ENST00000524552, ENST00000227378"
8216,2,"ENST00000527673, ENST00000532567"
7261,1,ENST00000308595
6701,11,"ENST00000542179, ENST00000430553, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000536528, ENST00000543695, ENST00000396222, ENST00000379412, ENST00000486690"
6630,3,"ENST00000527673, ENST00000532567, ENST00000527791"
6514,1,ENST00000278412
5517,13,"ENST00000524851, ENST00000532872, ENST00000530721, ENST00000534440, ENST00000531188, ENST00000525690, ENST00000526608, ENST00000422465, ENST00000526248, ENST00000527446, ENST00000530170, ENST00000278572, ENST00000525933"
5488,2,"ENST00000525634, ENST00000228140"
5467,6,"ENST00000389939, ENST00000345732, ENST00000674194, ENST00000534668, ENST00000532073, ENST00000528313"
5254,8,"ENST00000533540, ENST00000534624, ENST00000534319, ENST00000528292, ENST00000532636, ENST00000526110, ENST00000453788, ENST00000227378"
5195,6,"ENST00000532829, ENST00000534180, ENST00000526640, ENST00000273550, ENST00000620041, ENST00000532601"
5061,7,"ENST00000531978, ENST00000530913, ENST00000530022, ENST00000526562, ENST00000314138, ENST00000524496, ENST00000534599"
4991,10,"ENST00000524851, ENST00000532872, ENST00000530721, ENST00000531188, ENST00000526608, ENST00000422465, ENST00000526248, ENST00000527446, ENST00000278572, ENST00000525933"
4736,7,"ENST00000526110, ENST00000534624, ENST00000534319, ENST00000528292, ENST00000453788, ENST00000227378, ENST00000532636"
4729,4,"ENST00000396525, ENST00000339995, ENST00000526148, ENST00000525681"
4719,1,ENST00000525634
4564,3,"ENST00000525634, ENST00000533969, ENST00000228140"
4385,1,ENST00000379965
4017,7,"ENST00000545215, ENST00000542179, ENST00000379412, ENST00000430553, ENST00000540430, ENST00000541097, ENST00000422447"
3901,8,"ENST00000533540, ENST00000534624, ENST00000534319, ENST00000532636, ENST00000526110, ENST00000453788, ENST00000524552, ENST00000227378"
3898,7,"ENST00000532829, ENST00000620041, ENST00000534180, ENST00000526640, ENST00000273550, ENST00000529548, ENST00000532601"
3770,5,"ENST00000531978, ENST00000530022, ENST00000314138, ENST00000524496, ENST00000534599"
3679,7,"ENST00000545215, ENST00000379412, ENST00000542179, ENST00000430553, ENST00000227157, ENST00000540430, ENST00000422447"
3670,9,"ENST00000524851, ENST00000532872, ENST00000534440, ENST00000531188, ENST00000526608, ENST00000526248, ENST00000527446, ENST00000530170, ENST00000278572"
3653,2,"ENST00000428726, ENST00000263398"
3652,6,"ENST00000534180, ENST00000526640, ENST00000273550, ENST00000620041, ENST00000529548, ENST00000532601"
3600,13,"ENST00000495052, ENST00000542179, ENST00000535451, ENST00000539814, ENST00000227157, ENST00000541097, ENST00000422447, ENST00000540430, ENST00000379412, ENST00000396222, ENST00000430553, ENST00000543445, ENST00000478970"
3592,8,"ENST00000542179, ENST00000541097, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000379412, ENST00000430553, ENST00000486690"
3415,7,"ENST00000530913, ENST00000530022, ENST00000532359, ENST00000526562, ENST00000314138, ENST00000524496, ENST00000534599"
3319,2,"ENST00000332118, ENST00000532259"
3212,5,"ENST00000405957, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000381775"
3131,1,ENST00000299413
3093,5,"ENST00000532829, ENST00000530019, ENST00000534180, ENST00000273550, ENST00000620041"
3086,11,"ENST00000524851, ENST00000532872, ENST00000530721, ENST00000531188, ENST00000525690, ENST00000526608, ENST00000422465, ENST00000526248, ENST00000527446, ENST00000278572, ENST00000525933"
3051,1,ENST00000321153
3026,2,"ENST00000403734, ENST00000301785"
2947,8,"ENST00000677121, ENST00000678993, ENST00000531329, ENST00000531572, ENST00000678132, ENST00000651655, ENST00000533626, ENST00000640290"
2911,13,"ENST00000328221, ENST00000680938, ENST00000680696, ENST00000680588, ENST00000679380, ENST00000399815, ENST00000528780, ENST00000681938, ENST00000679765, ENST00000408968, ENST00000681180, ENST00000681426, ENST00000681577"
2652,5,"ENST00000532820, ENST00000389645, ENST00000341394, ENST00000529307, ENST00000530820"
2552,5,"ENST00000396525, ENST00000526148, ENST00000528839, ENST00000339995, ENST00000525681"
2477,7,"ENST00000533540, ENST00000526110, ENST00000534624, ENST00000528292, ENST00000453788, ENST00000227378, ENST00000532636"
2425,7,"ENST00000524851, ENST00000530721, ENST00000527446, ENST00000278572, ENST00000531188, ENST00000526608, ENST00000422465"
2400,7,"ENST00000524851, ENST00000526248, ENST00000530721, ENST00000527446, ENST00000530170, ENST00000531188, ENST00000422465"
2371,1,ENST00000301785
2349,4,"ENST00000396978, ENST00000533217, ENST00000396979, ENST00000351018"
2287,2,"ENST00000257829, ENST00000531159"
2224,10,"ENST00000495052, ENST00000542179, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545467, ENST00000396222, ENST00000379412, ENST00000543445, ENST00000478970"
2213,1,ENST00000379719
2155,1,ENST00000530022
2119,1,ENST00000378024
2049,1,ENST00000531978
2040,8,"ENST00000525981, ENST00000526562, ENST00000524496, ENST00000530913, ENST00000530022, ENST00000532359, ENST00000314138, ENST00000534599"
2001,2,"ENST00000439561, ENST00000249923"
1920,2,"ENST00000524851, ENST00000525933"
1908,8,"ENST00000532829, ENST00000534180, ENST00000526640, ENST00000529548, ENST00000530019, ENST00000273550, ENST00000620041, ENST00000532601"
1904,8,"ENST00000405957, ENST00000381775, ENST00000432093, ENST00000417766, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000457279"
1861,4,"ENST00000530457, ENST00000555531, ENST00000396394, ENST00000418988"
1774,6,"ENST00000227378, ENST00000526110, ENST00000534624, ENST00000453788, ENST00000528292, ENST00000532636"
1741,7,"ENST00000227378, ENST00000533540, ENST00000534624, ENST00000534319, ENST00000524552, ENST00000526110, ENST00000532636"
1721,1,ENST00000228136
1693,1,ENST00000361367
1640,5,"ENST00000396525, ENST00000526148, ENST00000531180, ENST00000339995, ENST00000525681"
1628,1,ENST00000341394
1625,10,"ENST00000542179, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000543695, ENST00000396222, ENST00000379412, ENST00000543445, ENST00000486690"
1618,5,"ENST00000227378, ENST00000534624, ENST00000453788, ENST00000528292, ENST00000532636"
1596,9,"ENST00000524851, ENST00000532872, ENST00000530721, ENST00000531188, ENST00000526608, ENST00000422465, ENST00000527446, ENST00000278572, ENST00000525933"
1585,6,"ENST00000530913, ENST00000530022, ENST00000526562, ENST00000314138, ENST00000524496, ENST00000534599"
1585,13,"ENST00000421485, ENST00000405957, ENST00000381775, ENST00000446808, ENST00000432093, ENST00000417766, ENST00000429923, ENST00000418975, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000451814, ENST00000457279"
1570,2,"ENST00000540430, ENST00000379412"
1568,1,ENST00000329251
1567,12,"ENST00000495052, ENST00000542179, ENST00000539814, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000396222, ENST00000379412, ENST00000543445, ENST00000478970, ENST00000486690"
1562,21,"ENST00000680696, ENST00000679380, ENST00000680802, ENST00000680699, ENST00000680310, ENST00000680870, ENST00000681938, ENST00000679765, ENST00000681180, ENST00000681577, ENST00000680342, ENST00000328221, ENST00000680938, ENST00000679353, ENST00000680588, ENST00000681761, ENST00000679982, ENST00000680299, ENST00000681702, ENST00000408968, ENST00000681426"
1505,2,"ENST00000532820, ENST00000341394"
1491,5,"ENST00000533464, ENST00000413872, ENST00000264555, ENST00000534320, ENST00000416188"
1444,4,"ENST00000273550, ENST00000532829, ENST00000530019, ENST00000620041"
1388,5,"ENST00000396222, ENST00000379412, ENST00000227157, ENST00000540430, ENST00000422447"
1387,5,"ENST00000300738, ENST00000533349, ENST00000534285, ENST00000533495, ENST00000532170"
1361,6,"ENST00000533540, ENST00000534624, ENST00000534319, ENST00000453788, ENST00000227378, ENST00000532636"
1351,1,ENST00000299424
1343,9,"ENST00000533182, ENST00000397566, ENST00000469048, ENST00000397570, ENST00000532326, ENST00000528413, ENST00000348655, ENST00000330243, ENST00000525445"
1343,2,"ENST00000318950, ENST00000447399"
1320,7,"ENST00000227378, ENST00000533540, ENST00000534624, ENST00000534319, ENST00000453788, ENST00000526110, ENST00000532636"
1244,10,"ENST00000405957, ENST00000381775, ENST00000446808, ENST00000432093, ENST00000417766, ENST00000429923, ENST00000311604, ENST00000612798, ENST00000406638, ENST00000457279"
1220,4,"ENST00000319006, ENST00000528097, ENST00000530440, ENST00000528070"
1214,3,"ENST00000389939, ENST00000345732, ENST00000534668"
1208,3,"ENST00000339865, ENST00000399455, ENST00000527733"
1197,1,ENST00000288937
1179,8,"ENST00000524851, ENST00000530721, ENST00000534440, ENST00000531188, ENST00000422465, ENST00000526248, ENST00000527446, ENST00000530170"
1149,2,"ENST00000531572, ENST00000640290"
1145,8,"ENST00000532872, ENST00000530721, ENST00000534440, ENST00000531188, ENST00000525690, ENST00000422465, ENST00000526248, ENST00000530170"
1140,2,"ENST00000382762, ENST00000325147"
1131,1,ENST00000524496
1102,6,"ENST00000524851, ENST00000530721, ENST00000527446, ENST00000278572, ENST00000531188, ENST00000422465"
1098,7,"ENST00000396525, ENST00000339995, ENST00000526148, ENST00000524932, ENST00000532082, ENST00000531416, ENST00000525681"
1097,8,"ENST00000542179, ENST00000430553, ENST00000227157, ENST00000422447, ENST00000540430, ENST00000545215, ENST00000396222, ENST00000379412"
1092,3,"ENST00000439561, ENST00000534234, ENST00000249923"
1074,15,"ENST00000644683, ENST00000682424, ENST00000645285, ENST00000642892, ENST00000644218, ENST00000299427, ENST00000647152, ENST00000643439, ENST00000644810, ENST00000533371, ENST00000643342, ENST00000644933, ENST00000645620, ENST00000647209, ENST00000643516"
1062,3,"ENST00000495052, ENST00000540430, ENST00000379412"
1046,1,ENST00000336349
1007,6,"ENST00000227378, ENST00000534624, ENST00000534319, ENST00000453788, ENST00000528292, ENST00000532636"
997,2,"ENST00000396979, ENST00000351018"
985,3,"ENST00000530457, ENST00000396394, ENST00000418988"
978,6,"ENST00000396525, ENST00000526148, ENST00000531647, ENST00000531416, ENST00000339995, ENST00000525681"
965,1,ENST00000354193
960,2,"ENST00000319006, ENST00000528097"
937,5,"ENST00000396525, ENST00000526148, ENST00000531416, ENST00000339995, ENST00000525681"
936,2,"ENST00000354817, ENST00000532502"
932,3,"ENST00000339995, ENST00000526148, ENST00000525681"
924,6,"ENST00000533540, ENST00000526110, ENST00000534624, ENST00000453788, ENST00000227378, ENST00000532636"
921,2,"ENST00000531120, ENST00000524896"
